Year,Coal
1974,981.1
1975,981.2
1976,1047.7
1977,1070.4
1978,1103
1979,1168.9
1980,1169.4
1981,1229.2
1982,1194.9
1983,1228.3
1984,1334.2
1985,1316.4
1986,1401.5
1987,1430.7
1988,1548.4
1989,1576.1
1990,1623.2
1991,1640.3
1992,1642.6
1993,1661.4
1994,1710.1
1995,1775.9
1996,1852.6
1997,1959.5
1998,2022.7
1999,2052.5
2000,2081.5
2001,2127.8
2002,2118.7
2003,2221.7
2004,2254.5
2005,2292.7
2006,2316.6
2007,2300.2
2008,2351
2009,2224.8
2010,2123.9
2011,2074.7
2012,1930.9
2013,1845.8
2014,1907.2
2015,1954.9
2016,1930
2017,1847.3
2018,1801.6
2019,1706.6