Date	wTI Spot Price (USD/Barrel)
Jan 03, 2011	91.59
Feb 01, 2011	89.54
Mar 01, 2011	99.63
Apr 01, 2011	107.55
May 02, 2011	113.03
Jun 01, 2011	100.3
Jul 01, 2011	94.81
Aug 01, 2011	94.98
Sep 01, 2011	88.93
Oct 03, 2011	77.34
Nov 01, 2011	92.19
Dec 01, 2011	100.2
Jan 03, 2012	102.96
Feb 01, 2012	97.63
Mar 01, 2012	108.76
Apr 02, 2012	105.25
May 01, 2012	106.17
Jun 01, 2012	83.17
Jul 02, 2012	83.72
Aug 01, 2012	88.99
Sep 04, 2012	95.34
Oct 01, 2012	92.44
Nov 01, 2012	87.05
Dec 03, 2012	88.69
Jan 02, 2013	93.14
Feb 01, 2013	97.46
Mar 01, 2013	90.71
Apr 01, 2013	97.1
May 01, 2013	90.74
Jun 03, 2013	93.41
Jul 01, 2013	97.94
Aug 01, 2013	107.93
Sep 03, 2013	108.67
Oct 01, 2013	102.09
Nov 01, 2013	94.56
Dec 02, 2013	93.61
Jan 02, 2014	95.14
Feb 03, 2014	96.44
Mar 03, 2014	105.34
Apr 01, 2014	99.69
May 01, 2014	99.69
Jun 02, 2014	103.07
Jul 01, 2014	106.06
Aug 01, 2014	97.86
Sep 02, 2014	92.92
Oct 01, 2014	90.74
Nov 03, 2014	78.77
Dec 01, 2014	68.98
Jan 02, 2015	52.72
Feb 02, 2015	49.25
Mar 02, 2015	49.59
Apr 01, 2015	50.12
May 01, 2015	59.1
Jun 01, 2015	60.24
Jul 01, 2015	56.94
Aug 03, 2015	45.25
Sep 01, 2015	45.38
Oct 01, 2015	44.75
Nov 02, 2015	46.12
Dec 01, 2015	40.58
Jan 04, 2016	36.81
Feb 01, 2016	31.62
Mar 01, 2016	34.39
Apr 01, 2016	35.36
May 02, 2016	44.75
Jun 01, 2016	49.07
Jul 01, 2016	49.02
Aug 01, 2016	40.05
Sep 01, 2016	43.17
Oct 03, 2016	48.8
Nov 01, 2016	46.66
Dec 01, 2016	51.08
Jan 03, 2017	52.36
Feb 01, 2017	53.9
Mar 01, 2017	53.82
Apr 03, 2017	50.25
May 01, 2017	48.83
Jun 01, 2017	48.32
Jul 05, 2017	45.11
Aug 01, 2017	49.19
Sep 01, 2017	47.32
Oct 02, 2017	50.59
Nov 01, 2017	54.32
Dec 01, 2017	58.35
Jan 02, 2018	60.37
Feb 01, 2018	65.92
Mar 01, 2018	60.98
Apr 03, 2018	63.41
May 01, 2018	67.28
Jun 01, 2018	65.81
Jul 02, 2018	73.89
Aug 01, 2018	68.8
Sep 04, 2018	69.82
Oct 01, 2018	75.37
Nov 01, 2018	63.67
Dec 03, 2018	52.98
Jan 02, 2019	46.31
Feb 01, 2019	55.29
Mar 01, 2019	55.76
Apr 01, 2019	61.59
May 01, 2019	63.55
Jun 03, 2019	53.25
Jul 01, 2019	58.91
Aug 01, 2019	53.64
Sep 03, 2019	53.91
Oct 01, 2019	53.6
Nov 01, 2019	56.04
Dec 03, 2019	56.15